Ward and Precinct (Updated 2022),Total Population,White alone,Black or African American,Hispanic or Latino (of any Race),Asian,American Indian and Alaska Native,Native Hawaiian and Other Pacific Islander,Some Other Race,Two or More Non-White Races,"Total Population,Age 18 and over","White alone, Age 18 and over","Black or African American, Age 18 and over","Hispanic or Latino (of any Race), Age 18 and over","Asian, Age 18 and over","American Indian and Alaska Native, Age 18 and over","Native Hawaiian and Other Pacific Islander, Age 18 and over","Some Other Race, Age 18 and over","Two or More Non-White Races, Age 18 and over",Total Group Quarters Population,Correctional Facilities for Adults,Juvenile Facilities,Nursing Facilities,Other Institutional Facilities,College / University Student Housing,Military Quarters,Other Noninstitutional Facilities,Total Housing Units,Occupied Housing Units,Vacant Housing Units
2101,"4,647","2,319",206,375,"1,650",11,5,59,22,"4,471","2,252",187,365,"1,578",8,3,58,20,730,0,0,0,0,713,0,17,"2,638","2,347",291
2102,"5,699","2,917",502,547,"1,625",6,19,59,24,"5,643","2,896",495,536,"1,613",6,19,58,20,"5,015",0,0,0,0,"5,015",0,0,478,400,78
2103,"3,923","1,927",196,340,"1,371",16,0,54,19,"3,802","1,890",188,307,"1,345",14,0,45,13,571,0,0,0,0,559,0,12,"1,978","1,882",96
2104,"2,933","1,403",136,406,872,1,0,92,23,"2,697","1,321",120,335,825,0,0,79,17,0,0,0,0,0,0,0,0,"1,281","1,177",104
2105,"2,948","1,642",123,329,768,4,4,67,11,"2,775","1,583",101,277,738,4,3,59,10,13,0,0,0,0,0,0,13,"1,485","1,423",62
2106,"2,023","1,071",85,259,519,15,2,52,20,"1,885","1,026",74,224,496,14,2,37,12,101,0,0,26,0,0,0,75,771,720,51
2107,"2,703","1,215",267,478,673,14,2,28,26,"2,441","1,155",225,386,611,13,2,25,24,18,0,0,0,0,0,0,18,"1,344","1,312",32
2108,"3,255","1,873",103,296,855,20,0,74,34,"3,113","1,829",89,266,813,19,0,71,26,0,0,0,0,0,0,0,0,"1,846","1,764",82
2109,"3,495","1,623",367,537,866,11,2,58,31,"3,136","1,575",282,392,802,11,2,52,20,56,0,0,0,56,0,0,0,"1,921","1,776",145
2110,"2,301","1,295",227,314,383,9,0,52,21,"2,141","1,254",194,261,357,9,0,50,16,141,0,0,141,0,0,0,0,"1,267","1,233",34
2111,"2,804","1,825",112,194,600,16,2,43,12,"2,639","1,728",108,175,560,16,2,40,10,0,0,0,0,0,0,0,0,"1,360","1,317",43
2112,"2,543","1,672",108,213,485,9,1,36,19,"2,429","1,617",108,185,470,7,0,31,11,0,0,0,0,0,0,0,0,"1,391","1,325",66
2113,"3,152","1,938",117,244,770,9,0,53,21,"2,934","1,781",116,214,748,9,0,51,15,0,0,0,0,0,0,0,0,"1,772","1,701",71
